id,name,description,category,created_at,updated_at
1,productivity,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",Sports,2022-02-16T11:16:02Z,2024-04-22T21:26:20Z
2,Decentralized,Donec posuere metus vitae ipsum. Aliquam non mauris.,Sports,2022-02-10T18:10:37Z,2023-12-06T04:11:02Z
3,conglomeration,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,Sports,2021-04-22T23:54:50Z,2024-03-13T05:35:46Z
4,Team-oriented,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.",Sports,2022-05-08T17:04:23Z,2024-03-19T02:51:52Z
5,Multi-tiered,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Cultural,2023-03-18T20:32:28Z,2024-01-01T15:27:08Z
6,implementation,"In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",Sports,2023-06-20T12:25:02Z,2024-01-12T05:57:47Z
7,neutral,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Cultural,2022-07-18T05:44:08Z,2024-04-03T05:53:54Z
8,Persistent,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Sports,2023-06-22T21:26:33Z,2023-12-25T04:55:51Z
9,solution,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.",Arts,2023-04-02T22:35:31Z,2023-10-23T03:46:32Z
10,functionalities,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Cultural,2021-08-17T14:54:08Z,2024-06-20T06:00:30Z
